,p_current_age,p_age_first_offense,p_charge,p_jail30,p_prison,p_probation,race_black,race_white,race_hispanic,race_asian,race_native,recid_use(label)
1,66,66,2,0,0,0,0,0,0,0,0,0
2,31,31,1,0,0,0,1,0,0,0,0,1
3,21,20,13,0,0,0,1,0,0,0,0,1
4,19,14,4,0,0,0,1,0,0,0,0,0
5,42,42,1,0,0,0,0,0,0,0,0,0
6,39,19,23,0,2,3,0,1,0,0,0,1
7,40,29,7,0,0,2,0,0,0,0,0,0
8,37,37,1,0,0,0,0,1,0,0,0,0
9,18,18,2,0,0,0,0,1,0,0,0,0
10,25,25,2,0,0,0,0,1,0,0,0,0
11,21,18,6,0,0,0,1,0,0,0,0,1
12,34,34,1,0,0,0,0,1,0,0,0,0
13,38,38,4,0,0,0,1,0,0,0,0,0
14,35,35,1,0,0,0,0,0,1,0,0,0
15,23,18,7,0,0,1,1,0,0,0,0,0
16,28,18,13,0,0,3,0,1,0,0,0,1
17,18,18,5,0,0,0,1,0,0,0,0,1
18,18,18,3,0,0,0,0,1,0,0,0,0
19,21,20,4,0,0,0,0,0,1,0,0,1
20,40,32,3,0,0,1,0,1,0,0,0,0
21,29,29,1,0,0,0,0,0,0,0,0,0
22,51,51,1,1,5,0,1,0,0,0,0,0
23,24,19,14,0,0,0,1,0,0,0,0,1
24,23,18,12,0,0,1,1,0,0,0,0,1
25,27,19,17,0,0,4,0,1,0,0,0,1
26,53,53,1,0,0,0,0,1,0,0,0,0
27,30,21,18,0,0,1,1,0,0,0,0,0
28,36,18,10,2,2,0,1,0,0,0,0,0
29,50,24,61,0,5,5,0,1,0,0,0,0
30,46,29,13,0,0,0,0,0,0,0,0,1
31,30,23,8,0,0,1,0,1,0,0,0,1
32,22,20,2,0,0,0,0,1,0,0,0,1
33,31,15,42,1,2,4,1,0,0,0,0,1
34,25,25,2,0,0,0,0,1,0,0,0,0
35,48,38,9,0,0,0,1,0,0,0,0,0
36,22,22,3,0,0,0,1,0,0,0,0,0
37,48,23,10,0,0,2,1,0,0,0,0,0
38,27,27,1,0,0,0,1,0,0,0,0,1
39,23,18,19,0,2,2,0,1,0,0,0,1
40,46,46,2,0,0,0,0,1,0,0,0,0
41,26,26,2,0,0,0,1,0,0,0,0,0
42,26,26,4,0,0,0,0,1,0,0,0,1
